trial,target_g,time_s,raw,voltage
16,200,0.308,39001,1.9639
16,200,0.359,39465,1.9873
16,200,0.410,40953,2.0622
16,200,0.461,39353,1.9816
16,200,0.512,40921,2.0606
16,200,0.563,39865,2.0074
16,200,0.614,40457,2.0372
16,200,0.665,39497,1.9889
16,200,0.717,39961,2.0122
16,200,0.768,41178,2.0735
16,200,0.819,40233,2.0259
16,200,0.870,41322,2.0808
16,200,0.921,40537,2.0412
16,200,0.972,41146,2.0719
16,200,1.023,41242,2.0767
16,200,1.074,38233,1.9252
16,200,1.125,41546,2.0920
16,200,1.176,41242,2.0767
16,200,1.227,40105,2.0195
16,200,1.279,40905,2.0598
16,200,1.330,38569,1.9421
16,200,1.381,39913,2.0098
16,200,1.432,38985,1.9631
16,200,1.484,39065,1.9671
16,200,1.535,39465,1.9873
16,200,1.586,39961,2.0122
16,200,1.637,40377,2.0332
